LineagesOfInterest,BatchSource,StartDate,EndDate,weights
NULL,Wakanda,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,12
BA.1,Gilead,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,2
BA.1,Hogwarts,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,263
BA.1,Middle-Earth,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,4
BA.1,Narnia,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,4
BA.1,Pandora,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,2
Delta,Asgard,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,1
Delta,Gilead,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,95
Delta,Hogwarts,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,17663
Delta,Middle-Earth,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,346
Delta,Narnia,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,178
Delta,Neverland,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,20
Delta,Pandora,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,145
Delta,Wakanda,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,44
NULL,Asgard,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,88
NULL,Gilead,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,22
NULL,Hogwarts,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,2558
NULL,Middle-Earth,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,216
NULL,Narnia,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,27
NULL,Pandora,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,61
NULL,Wakanda,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,6
BA.1,Asgard,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,47
BA.1,Gilead,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,33
BA.1,Hogwarts,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,1373
BA.1,Middle-Earth,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,106
BA.1,Narnia,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,18
BA.1,Pandora,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,79
BA.1,Wakanda,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,3
BA.2,Hogwarts,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,3
Delta,Asgard,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,300
Delta,Gilead,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,53
Delta,Hogwarts,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,16858
Delta,Middle-Earth,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,362
Delta,Narnia,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,129
Delta,Pandora,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,144
Delta,Wakanda,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,38
Omicron,Hogwarts,2021-12-06 00.00.00.000,2021-12-12 00.00.00.000,1
NULL,Asgard,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,13
NULL,Gilead,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,39
NULL,Hogwarts,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,2565
NULL,Middle-Earth,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,229
NULL,Narnia,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,48
NULL,Pandora,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,183
NULL,Wakanda,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,34
BA.1,Asgard,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,17
BA.1,Gilead,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,100
BA.1,Hogwarts,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,3417
BA.1,Middle-Earth,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,230
BA.1,Narnia,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,98
BA.1,Pandora,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,275
BA.1,Wakanda,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,19
BA.2,Gilead,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,6
BA.2,Hogwarts,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,121
BA.2,Middle-Earth,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,13
BA.2,Narnia,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,1
BA.2,Pandora,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,10
Delta,Asgard,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,74
Delta,Gilead,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,77
Delta,Hogwarts,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,5214
Delta,Middle-Earth,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,207
Delta,Narnia,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,80
Delta,Pandora,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,156
Delta,Wakanda,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,59
Omicron,Hogwarts,2021-12-13 00.00.00.000,2021-12-19 00.00.00.000,4
NULL,Gilead,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,60
NULL,Hogwarts,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,1667
NULL,Middle-Earth,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,102
NULL,Narnia,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,19
NULL,Pandora,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,179
NULL,Wakanda,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,7
Alpha,Gilead,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,2
BA.1,Gilead,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,143
BA.1,Hogwarts,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,4377
BA.1,Middle-Earth,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,157
BA.1,Narnia,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,57
BA.1,Pandora,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,597
BA.1,Wakanda,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,9
BA.2,Gilead,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,23
BA.2,Hogwarts,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,422
BA.2,Middle-Earth,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,25
BA.2,Narnia,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,5
BA.2,Pandora,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,45
BA.2,Wakanda,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,1
Delta,Gilead,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,39
Delta,Hogwarts,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,2485
Delta,Middle-Earth,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,49
Delta,Narnia,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,47
Delta,Pandora,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,126
Delta,Wakanda,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,19
Omicron,Hogwarts,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,4
Omicron,Pandora,2021-12-20 00.00.00.000,2021-12-26 00.00.00.000,1
NULL,Asgard,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,19
NULL,Gilead,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,9
NULL,Hogwarts,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,1238
NULL,Middle-Earth,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,149
NULL,Narnia,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,52
NULL,Pandora,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,122
NULL,Wakanda,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,8
BA.1,Asgard,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,67
BA.1,Gilead,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,188
BA.1,Hogwarts,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,4842
BA.1,Middle-Earth,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,299
BA.1,Narnia,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,142
BA.1,Pandora,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,520
BA.1,Wakanda,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,12
BA.2,Asgard,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,20
BA.2,Gilead,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,46
BA.2,Hogwarts,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,1004
BA.2,Middle-Earth,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,129
BA.2,Narnia,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,24
BA.2,Pandora,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,164
BA.2,Wakanda,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,7
Delta,Asgard,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,21
Delta,Gilead,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,37
Delta,Hogwarts,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,911
Delta,Middle-Earth,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,52
Delta,Narnia,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,37
Delta,Pandora,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,55
Delta,Wakanda,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,12
Omicron,Hogwarts,2021-12-27 00.00.00.000,2022-01-02 00.00.00.000,11
NULL,Asgard,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,75
NULL,Gilead,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,27
NULL,Hogwarts,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,1828
NULL,Middle-Earth,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,219
NULL,Narnia,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,66
NULL,Pandora,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,144
NULL,Wakanda,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,27
BA.1,Asgard,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,120
BA.1,Gilead,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,195
BA.1,Hogwarts,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,9695
BA.1,Middle-Earth,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,283
BA.1,Narnia,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,176
BA.1,Pandora,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,525
BA.1,Wakanda,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,33
BA.2,Asgard,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,56
BA.2,Gilead,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,76
BA.2,Hogwarts,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,3580
BA.2,Middle-Earth,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,178
BA.2,Narnia,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,37
BA.2,Pandora,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,277
BA.2,Wakanda,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,24
Delta,Asgard,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,27
Delta,Gilead,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,42
Delta,Hogwarts,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,665
Delta,Middle-Earth,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,22
Delta,Narnia,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,40
Delta,Pandora,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,23
Delta,Wakanda,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,12
Omicron,Hogwarts,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,92
Omicron,Pandora,2022-01-03 00.00.00.000,2022-01-09 00.00.00.000,4
NULL,Agrabah,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,8
NULL,Asgard,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,84
NULL,Gilead,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,62
NULL,Hogwarts,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,1255
NULL,Middle-Earth,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,207
NULL,Narnia,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,70
NULL,Pandora,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,153
NULL,Wakanda,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,16
BA.1,Agrabah,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,38
BA.1,Asgard,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,83
BA.1,Gilead,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,263
BA.1,Hogwarts,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,5916
BA.1,Middle-Earth,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,270
BA.1,Narnia,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,156
BA.1,Pandora,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,404
BA.1,Wakanda,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,17
BA.2,Agrabah,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,24
BA.2,Asgard,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,83
BA.2,Gilead,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,218
BA.2,Hogwarts,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,6112
BA.2,Middle-Earth,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,245
BA.2,Narnia,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,98
BA.2,Pandora,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,546
BA.2,Wakanda,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,26
Delta,Asgard,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,8
Delta,Gilead,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,3
Delta,Hogwarts,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,143
Delta,Middle-Earth,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,6
Delta,Narnia,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,10
Delta,Pandora,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,11
Delta,Wakanda,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,4
Omicron,Hogwarts,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,65
Omicron,Pandora,2022-01-10 00.00.00.000,2022-01-16 00.00.00.000,2
NULL,Agrabah,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,6
NULL,Asgard,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,166
NULL,Gilead,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,47
NULL,Hogwarts,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,1105
NULL,Middle-Earth,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,198
NULL,Narnia,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,63
NULL,Pandora,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,266
NULL,Wakanda,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,22
BA.1,Agrabah,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,14
BA.1,Asgard,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,59
BA.1,Gilead,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,108
BA.1,Hogwarts,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,5026
BA.1,Middle-Earth,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,158
BA.1,Narnia,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,133
BA.1,Pandora,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,393
BA.1,Wakanda,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,24
BA.2,Agrabah,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,19
BA.2,Asgard,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,130
BA.2,Gilead,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,192
BA.2,Hogwarts,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,10416
BA.2,Middle-Earth,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,394
BA.2,Narnia,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,199
BA.2,Pandora,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,1083
BA.2,Wakanda,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,62
Delta,Agrabah,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,1
Delta,Asgard,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,5
Delta,Gilead,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,2
Delta,Hogwarts,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,48
Delta,Middle-Earth,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,4
Delta,Narnia,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,7
Delta,Pandora,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,9
Delta,Wakanda,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,1
Omicron,Hogwarts,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,109
Omicron,Narnia,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,1
Omicron,Pandora,2022-01-17 00.00.00.000,2022-01-23 00.00.00.000,5
NULL,Agrabah,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,4
NULL,Asgard,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,167
NULL,Gilead,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,90
NULL,Hogwarts,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,1622
NULL,Middle-Earth,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,144
NULL,Narnia,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,62
NULL,Pandora,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,222
NULL,Wakanda,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,8
BA.1,Agrabah,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,5
BA.1,Asgard,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,38
BA.1,Gilead,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,64
BA.1,Hogwarts,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,2744
BA.1,Middle-Earth,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,122
BA.1,Narnia,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,112
BA.1,Pandora,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,235
BA.1,Wakanda,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,5
BA.2,Agrabah,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,30
BA.2,Asgard,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,224
BA.2,Gilead,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,201
BA.2,Hogwarts,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,10572
BA.2,Middle-Earth,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,542
BA.2,Narnia,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,311
BA.2,Neverland,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,4
BA.2,Pandora,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,1083
BA.2,Wakanda,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,28
Delta,Asgard,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,2
Delta,Gilead,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,1
Delta,Hogwarts,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,22
Delta,Middle-Earth,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,1
Delta,Narnia,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,4
Delta,Pandora,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,2
Delta,Wakanda,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,1
Omicron,Hogwarts,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,66
Omicron,Pandora,2022-01-24 00.00.00.000,2022-01-30 00.00.00.000,5
NULL,Agrabah,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,2
NULL,Asgard,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,23
NULL,Gilead,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,219
NULL,Hogwarts,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,1796
NULL,Middle-Earth,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,211
NULL,Narnia,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,69
NULL,Pandora,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,211
NULL,Wakanda,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,3
NULL,Westeros,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,1
Alpha,Agrabah,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,1
BA.1,Agrabah,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,6
BA.1,Asgard,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,9
BA.1,Gilead,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,27
BA.1,Hogwarts,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,1703
BA.1,Middle-Earth,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,50
BA.1,Narnia,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,44
BA.1,Neverland,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,3
BA.1,Pandora,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,151
BA.1,Wakanda,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,16
BA.2,Agrabah,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,22
BA.2,Asgard,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,101
BA.2,Gilead,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,200
BA.2,Hogwarts,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,11852
BA.2,Middle-Earth,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,463
BA.2,Narnia,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,259
BA.2,Neverland,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,17
BA.2,Pandora,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,920
BA.2,Wakanda,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,90
BA.2,Westeros,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,2
Delta,Asgard,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,1
Delta,Hogwarts,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,10
Delta,Middle-Earth,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,1
Delta,Narnia,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,1
Delta,Pandora,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,1
Delta,Wakanda,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,1
Omicron,Hogwarts,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,99
Omicron,Pandora,2022-01-31 00.00.00.000,2022-02-06 00.00.00.000,9
NULL,Agrabah,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,2
NULL,Asgard,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,36
NULL,Gilead,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,95
NULL,Hogwarts,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,1336
NULL,Middle-Earth,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,174
NULL,Narnia,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,93
NULL,Pandora,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,179
NULL,Wakanda,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,7
BA.1,Asgard,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,21
BA.1,Gilead,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,19
BA.1,Hogwarts,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,1026
BA.1,Middle-Earth,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,36
BA.1,Narnia,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,35
BA.1,Neverland,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,3
BA.1,Pandora,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,92
BA.1,Wakanda,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,4
BA.2,Agrabah,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,28
BA.2,Asgard,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,194
BA.2,Gilead,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,284
BA.2,Hogwarts,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,12310
BA.2,Middle-Earth,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,608
BA.2,Narnia,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,325
BA.2,Neverland,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,22
BA.2,Pandora,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,831
BA.2,Wakanda,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,57
Delta,Asgard,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,1
Delta,Hogwarts,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,2
Delta,Narnia,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,1
Delta,Pandora,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,1
Omicron,Hogwarts,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,64
Omicron,Pandora,2022-02-07 00.00.00.000,2022-02-13 00.00.00.000,6
NULL,Asgard,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,49
NULL,Gilead,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,40
NULL,Hogwarts,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,913
NULL,Middle-Earth,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,229
NULL,Narnia,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,99
NULL,Neverland,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,1
NULL,Pandora,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,134
NULL,Wakanda,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,8
