LineagesOfInterest,DateSampling,BatchSource,weights
NULL,2021-12-07,Pandora,15
BA.1,2022-01-31,Wakanda,5
BA.2,2022-02-26,Wakanda,6
Delta,2021-07-11,Narnia,5
NULL,2021-09-30,Hogwarts,23
Alpha,2021-06-02,Panem,129
BA.1,2021-12-16,Narnia,17
Delta,2021-12-12,Hogwarts,1083
BA.2,2022-01-22,Pandora,114
NULL,2021-07-17,Hogwarts,32
Alpha,2021-03-10,Narnia,8
NULL,2021-12-19,Hogwarts,244
Delta,2021-11-01,Asgard,22
NULL,2020-11-23,Hogwarts,176
BA.1,2022-01-24,Pandora,50
NULL,2021-03-06,Gilead,5
NULL,2021-11-10,Hogwarts,129
Delta,2021-08-03,Gilead,8
Eta,2021-03-13,Panem,9
BA.2,2022-01-25,Agrabah,16
Delta,2021-10-24,Hogwarts,1367
NULL,2020-10-20,Middle-Earth,18
NULL,2020-11-06,Panem,663
NULL,2022-01-12,Pandora,27
Delta,2021-12-13,Gilead,17
NULL,2020-09-29,Panem,134
BA.2,2022-02-19,Middle-Earth,59
BA.1,2022-02-08,Narnia,5
BA.1,2021-12-17,Middle-Earth,53
Delta,2021-12-01,Gilead,13
NULL,2021-08-07,Hogwarts,52
NULL,2020-09-17,Middle-Earth,6
NULL,2022-01-08,Asgard,10
BA.1,2022-02-12,Gilead,3
Alpha,2021-04-16,Wakanda,4
NULL,2021-03-27,Pandora,4
NULL,2021-11-07,Wakanda,3
NULL,2021-02-02,Narnia,6
Delta,2021-07-31,Narnia,4
Alpha,2021-04-29,Agrabah,4
NULL,2022-02-22,Narnia,10
Delta,2021-09-26,Asgard,3
Delta,2021-08-26,Agrabah,3
Delta,2021-12-31,Gilead,3
NULL,2021-05-14,Hogwarts,4
Delta,2021-10-16,Narnia,3
Delta,2021-08-01,Asgard,14
Delta,2021-12-03,Pandora,27
NULL,2021-11-01,Narnia,6
Delta,2021-11-10,Asgard,35
Alpha,2021-04-06,Hogwarts,270
NULL,2022-02-05,Gilead,54
Alpha,2021-01-17,Middle-Earth,6
BA.2,2022-02-05,Asgard,10
BA.2,2022-02-12,Hogwarts,2164
Alpha,2021-04-06,Narnia,17
Alpha,2021-05-23,Wakanda,3
Delta,2021-07-15,Narnia,10
Alpha,2021-01-31,Panem,68
NULL,2021-11-12,Wakanda,5
Delta,2022-01-06,Gilead,16
NULL,2020-10-27,Hogwarts,47
NULL,2020-12-12,Panem,373
Delta,2021-07-16,Narnia,3
BA.1,2022-02-04,Hogwarts,234
Alpha,2021-05-25,Panem,212
Delta,2021-11-17,Wakanda,20
Delta,2021-12-07,Pandora,31
NULL,2021-12-30,Gilead,3
NULL,2020-11-17,Panem,186
NULL,2020-12-08,Panem,941
NULL,2022-02-08,Pandora,33
Delta,2021-11-23,Asgard,39
NULL,2021-10-04,Wakanda,3
BA.1,2022-01-09,Asgard,13
BA.2,2022-01-15,Hogwarts,953
BA.2,2022-01-30,Hogwarts,2088
Alpha,2021-01-06,Panem,18
Alpha,2021-03-21,Pandora,4
BA.2,2022-01-11,Narnia,14
BA.2,2022-01-05,Pandora,47
NULL,2020-12-06,Hogwarts,143
NULL,2020-12-10,Panem,475
NULL,2022-02-18,Wakanda,5
Delta,2021-11-23,Wakanda,11
NULL,2021-04-11,Hogwarts,27
Delta,2021-10-01,Asgard,10
BA.1,2021-12-27,Pandora,113
BA.1,2022-02-21,Pandora,5
Alpha,2021-06-03,Narnia,7
Alpha,2021-05-06,Panem,490
BA.1,2022-01-29,Narnia,8
NULL,2021-12-26,Middle-Earth,35
BA.2,2021-12-29,Gilead,10
NULL,2020-11-19,Hogwarts,252
NULL,2020-09-09,Panem,74
Alpha,2021-05-31,Gilead,11
BA.2,2022-02-06,Narnia,30
BA.2,2022-01-24,Gilead,37
NULL,2020-12-25,Narnia,25
Delta,2021-10-26,Hogwarts,1198
Delta,2021-06-25,Hogwarts,69
NULL,2021-01-09,Hogwarts,233
Alpha,2021-01-10,Panem,31
Delta,2021-08-07,Narnia,8
NULL,2022-01-23,Middle-Earth,35
Alpha,2021-06-01,Gilead,5
Delta,2021-10-27,Narnia,11
BA.1,2021-12-26,Hogwarts,574
NULL,2021-03-15,Narnia,6
Alpha,2021-04-17,Pandora,3
Delta,2021-10-17,Wakanda,5
Delta,2021-12-28,Pandora,5
NULL,2020-12-29,Pandora,3
NULL,2021-12-20,Middle-Earth,13
Alpha,2021-04-24,Pandora,3
BA.1,2022-01-24,Middle-Earth,32
NULL,2020-12-30,Panem,469
BA.1,2022-01-07,Middle-Earth,6
NULL,2020-10-19,Panem,83
NULL,2021-11-08,Hogwarts,128
Delta,2021-10-15,Wakanda,5
NULL,2020-09-02,Panem,131
NULL,2021-12-30,Asgard,3
Alpha,2021-03-15,Agrabah,10
NULL,2022-02-15,Pandora,19
Alpha,2021-05-11,Panem,1037
Delta,2021-11-02,Hogwarts,2062
Eta,2021-03-10,Panem,11
Alpha,2021-03-29,Panem,574
BA.1,2022-01-12,Narnia,22
BA.2,2022-01-22,Hogwarts,1557
NULL,2021-01-28,Pandora,24
NULL,2021-02-03,Hogwarts,20
Delta,2021-08-03,Narnia,11
Eta,2021-03-16,Hogwarts,9
Alpha,2021-02-07,Panem,114
NULL,2021-09-02,Hogwarts,36
NULL,2020-11-20,Panem,662
NULL,2022-02-17,Narnia,18
BA.1,2021-12-15,Middle-Earth,54
BA.2,2022-01-29,Asgard,35
Alpha,2021-06-06,Asgard,5
Delta,2021-08-20,Wakanda,5
Delta,2021-12-09,Narnia,6
NULL,2021-11-25,Narnia,4
Alpha,2021-05-15,Wakanda,5
NULL,2021-10-28,Asgard,4
NULL,2021-07-16,Hogwarts,41
NULL,2021-01-05,Middle-Earth,16
NULL,2022-01-26,Narnia,6
BA.1,2022-01-08,Middle-Earth,10
BA.1,2022-01-02,Hogwarts,3865
NULL,2021-12-06,Hogwarts,471
Delta,2021-11-04,Narnia,22
Alpha,2021-03-17,Panem,510
BA.2,2021-12-29,Hogwarts,77
NULL,2021-01-27,Pandora,14
NULL,2021-05-26,Panem,231
Alpha,2021-03-26,Hogwarts,9
NULL,2021-03-18,Panem,196
NULL,2020-12-11,Middle-Earth,24
BA.2,2022-02-04,Gilead,20
NULL,2021-01-12,Pandora,7
BA.2,2021-12-28,Hogwarts,214
Delta,2021-10-04,Hogwarts,528
Beta,2021-06-26,Hogwarts,3
Delta,2022-01-09,Middle-Earth,4
Delta,2021-10-27,Asgard,15
Delta,2021-10-12,Neverland,6
NULL,2021-12-23,Gilead,8
NULL,2022-01-18,Asgard,28
NULL,2020-09-08,Panem,32
BA.2,2022-01-31,Hogwarts,2485
NULL,2021-05-26,Agrabah,4
NULL,2022-01-09,Hogwarts,186
NULL,2021-04-08,Wakanda,6
NULL,2022-01-16,Pandora,25
Alpha,2021-05-15,Panem,512
NULL,2020-09-25,Panem,146
BA.1,2022-02-15,Pandora,9
BA.2,2022-01-11,Wakanda,9
Alpha,2021-05-23,Asgard,3
Delta,2021-08-05,Hogwarts,1391
BA.2,2022-01-21,Hogwarts,1821
BA.2,2022-02-22,Agrabah,13
BA.1,2022-01-20,Wakanda,4
Alpha,2021-04-03,Hogwarts,5
Delta,2021-10-26,Agrabah,6
Alpha,2021-04-19,Pandora,5
Delta,2021-08-21,Asgard,11
Delta,2021-12-13,Pandora,10
NULL,2021-01-24,Middle-Earth,23
Delta,2021-08-14,Agrabah,4
Eta,2021-03-02,Panem,10
Delta,2021-11-18,Agrabah,11
Alpha,2021-01-11,Middle-Earth,4
Delta,2021-10-01,Narnia,3
Alpha,2021-06-16,Asgard,3
BA.1,2022-01-09,Gilead,33
NULL,2021-01-30,Narnia,9
Delta,2021-11-23,Gilead,21
Alpha,2021-04-27,Narnia,9
NULL,2020-12-15,Middle-Earth,52
BA.2,2022-02-07,Hogwarts,1983
NULL,2021-12-07,Hogwarts,261
NULL,2021-04-22,Hogwarts,42
NULL,2022-02-28,Pandora,23
Alpha,2021-05-31,Asgard,7
Delta,2021-05-09,Hogwarts,6
NULL,2021-12-09,Pandora,10
NULL,2022-02-20,Gilead,10
Alpha,2020-12-17,Hogwarts,7
NULL,2020-12-15,Panem,978
BA.2,2022-01-20,Asgard,19
NULL,2020-11-24,Panem,291
NULL,2020-12-31,Hogwarts,151
BA.2,2022-01-11,Gilead,51
Alpha,2021-06-01,Asgard,5
Delta,2021-09-23,Asgard,4
Delta,2021-07-07,Hogwarts,419
Delta,2021-11-06,Wakanda,8
NULL,2021-05-09,Panem,127
BA.1,2021-12-16,Gilead,27
Alpha,2021-04-12,Agrabah,7
Delta,2021-08-08,Agrabah,3
BA.2,2022-02-06,Gilead,16
NULL,2021-08-04,Hogwarts,99
NULL,2022-02-01,Pandora,40
NULL,2021-03-11,Panem,164
BA.2,2022-01-08,Middle-Earth,29
Alpha,2021-05-07,Gilead,4
NULL,2021-12-16,Pandora,28
BA.1,2022-01-31,Agrabah,3
Delta,2021-11-30,Gilead,10
Delta,2021-11-17,Agrabah,9
Delta,2021-07-26,Gilead,5
Delta,2021-05-02,Panem,4
NULL,2021-03-15,Gilead,3
BA.2,2022-02-08,Asgard,7
Alpha,2021-02-25,Panem,280
Delta,2021-09-23,Neverland,4
Alpha,2021-06-18,Hogwarts,159
Delta,2021-12-24,Narnia,13
Delta,2021-08-14,Narnia,7
Delta,2021-12-25,Hogwarts,85
Alpha,2020-12-24,Panem,16
NULL,2022-01-04,Narnia,20
Alpha,2021-05-18,Hogwarts,59
BA.2,2022-01-28,Narnia,41
Delta,2021-12-15,Narnia,12
NULL,2021-05-31,Gilead,9
BA.2,2022-01-01,Hogwarts,82
NULL,2021-04-16,Hogwarts,76
Delta,2021-09-19,Narnia,4
BA.2,2022-01-12,Asgard,19
Omicron,2022-01-17,Hogwarts,15
Delta,2021-12-06,Narnia,44
Delta,2021-08-06,Hogwarts,1079
Delta,2021-11-04,Agrabah,3
NULL,2020-11-03,Hogwarts,84
NULL,2021-12-25,Narnia,3
BA.2,2021-12-27,Middle-Earth,44
NULL,2021-05-07,Wakanda,3
NULL,2021-09-10,Gilead,4
NULL,2021-07-30,Asgard,3
NULL,2021-01-31,Agrabah,3
NULL,2021-09-25,Gilead,3
Delta,2021-09-07,Wakanda,3
BA.2,2022-02-23,Wakanda,6
Delta,2021-08-13,Wakanda,4
Delta,2021-11-30,Hogwarts,1934
NULL,2020-12-09,Gilead,39
NULL,2021-08-23,Hogwarts,77
NULL,2021-03-10,Agrabah,4
Delta,2021-11-20,Pandora,6
Delta,2021-10-30,Narnia,5
Alpha,2021-06-05,Hogwarts,653
BA.2,2022-02-28,Gilead,16
NULL,2021-01-21,Panem,824
Delta,2021-06-16,Hogwarts,37
NULL,2021-04-10,Hogwarts,12
NULL,2020-12-21,Narnia,21
Delta,2021-07-25,Asgard,5
Alpha,2021-04-01,Pandora,4
NULL,2021-07-01,Hogwarts,63
NULL,2021-11-29,Narnia,4
NULL,2020-09-21,Panem,218
NULL,2021-04-04,Panem,80
BA.2,2022-02-16,Middle-Earth,138
BA.1,2022-01-08,Pandora,46
NULL,2021-10-20,Hogwarts,78
BA.1,2021-12-23,Hogwarts,708
Alpha,2021-04-11,Narnia,13
Delta,2021-10-26,Asgard,20
Alpha,2021-05-16,Agrabah,3
BA.1,2022-01-05,Pandora,56
NULL,2021-08-20,Hogwarts,93
NULL,2021-01-04,Pandora,5
NULL,2022-02-24,Gilead,6
NULL,2021-12-20,Pandora,44
Delta,2021-11-16,Gilead,23
NULL,2021-05-15,Narnia,3
NULL,2022-02-08,Middle-Earth,37
Delta,2021-10-22,Neverland,5
BA.2,2022-01-20,Hogwarts,1410
NULL,2022-01-10,Middle-Earth,66
BA.2,2022-01-30,Asgard,45
NULL,2021-08-31,Asgard,3
NULL,2022-01-13,Wakanda,4
NULL,2021-11-05,Wakanda,8
Alpha,2020-12-09,Hogwarts,3
Delta,2020-12-15,Hogwarts,3
NULL,2021-12-03,Pandora,11
Alpha,2021-06-09,Narnia,9
Alpha,2021-06-01,Pandora,6
Beta,2021-04-08,Hogwarts,12
Delta,2021-08-01,Wakanda,3
Delta,2021-10-28,Pandora,4
Delta,2021-09-19,Hogwarts,275
Alpha,2021-03-14,Panem,359
NULL,2022-02-09,Hogwarts,118
Delta,2021-07-26,Wakanda,4
NULL,2021-11-28,Middle-Earth,10
BA.1,2022-02-05,Pandora,3
Delta,2021-12-07,Narnia,15
BA.2,2022-01-15,Middle-Earth,12
Alpha,2021-02-22,Agrabah,9
Delta,2021-09-07,Gilead,5
NULL,2020-12-25,Hogwarts,179
Delta,2021-10-27,Neverland,7
BA.2,2022-02-05,Wakanda,5
BA.2,2022-02-02,Gilead,26
Delta,2021-05-13,Panem,6
Alpha,2021-03-17,Gilead,8
BA.2,2022-02-28,Wakanda,5
Delta,2021-11-18,Hogwarts,1916
NULL,2021-01-09,Panem,756
BA.2,2021-12-24,Pandora,4
NULL,2021-05-27,Panem,160
Alpha,2021-04-11,Panem,279
NULL,2021-04-16,Wakanda,3
NULL,2021-08-06,Wakanda,3
Delta,2021-10-15,Narnia,6
Alpha,2021-03-15,Hogwarts,243
BA.1,2022-01-15,Gilead,30
NULL,2022-01-04,Wakanda,11
BA.2,2021-12-26,Narnia,4
Delta,2021-12-14,Middle-Earth,9
Delta,2022-01-03,Narnia,8
Alpha,2021-03-12,Panem,387
NULL,2021-02-16,Panem,344
NULL,2020-12-06,Panem,454
NULL,2021-05-31,Hogwarts,120
BA.1,2022-02-15,Asgard,5
BA.2,2022-01-27,Wakanda,5
NULL,2021-01-18,Pandora,19
Alpha,2021-04-18,Pandora,3
Alpha,2020-11-17,Hogwarts,6
Alpha,2021-02-26,Pandora,4
Alpha,2021-04-24,Narnia,4
NULL,2021-05-12,Pandora,6
Delta,2021-11-10,Gilead,13
NULL,2022-02-22,Hogwarts,141
NULL,2022-01-04,Gilead,8
NULL,2021-09-13,Wakanda,4
NULL,2021-04-29,Pandora,4
NULL,2021-01-15,Narnia,20
NULL,2022-01-25,Hogwarts,173
Beta,2021-03-09,Panem,4
NULL,2022-01-16,Middle-Earth,94
NULL,2021-01-07,Pandora,4
BA.1,2021-12-28,Hogwarts,1076
Delta,2021-10-30,Hogwarts,1024
Alpha,2021-04-10,Hogwarts,81
NULL,2020-10-29,Panem,207
NULL,2021-04-07,Hogwarts,168
NULL,2020-10-13,Panem,241
BA.2,2021-12-20,Hogwarts,84
Delta,2021-11-14,Narnia,10
Delta,2021-10-24,Narnia,7
BA.2,2022-01-25,Middle-Earth,135
Delta,2021-11-17,Pandora,6
BA.1,2021-12-27,Narnia,33
BA.1,2022-01-03,Gilead,11
Delta,2021-11-16,Wakanda,10
Omicron,2022-02-15,Pandora,3
Alpha,2021-01-12,Hogwarts,5
Delta,2021-08-02,Wakanda,3
Delta,2022-01-25,Hogwarts,4
Alpha,2021-05-04,Pandora,13
NULL,2021-09-16,Asgard,3
NULL,2020-10-12,Hogwarts,3
Alpha,2020-11-10,Panem,6
NULL,2021-01-02,Hogwarts,267
NULL,2022-01-19,Hogwarts,162
Delta,2021-10-19,Hogwarts,1125
BA.1,2021-12-21,Hogwarts,738
Alpha,2021-05-04,Gilead,8
BA.2,2022-01-19,Narnia,24
BA.2,2022-02-27,Agrabah,20
NULL,2022-03-01,Pandora,11
BA.1,2022-01-23,Middle-Earth,42
NULL,2021-03-05,Narnia,6
Delta,2021-12-14,Hogwarts,636
BA.1,2021-12-14,Wakanda,3
NULL,2021-11-12,Gilead,5
Alpha,2021-02-10,Narnia,4
BA.2,2022-01-21,Wakanda,14
BA.2,2022-01-06,Gilead,13
Alpha,2021-03-04,Gilead,7
NULL,2020-12-26,Panem,1380
NULL,2022-02-25,Hogwarts,144
Delta,2021-11-25,Pandora,9
Omicron,2022-02-06,Hogwarts,24
Alpha,2021-04-30,Hogwarts,220
BA.2,2022-02-20,Pandora,55
BA.1,2022-01-16,Asgard,7
Delta,2021-12-13,Asgard,23
NULL,2021-11-16,Pandora,9
NULL,2022-02-18,Middle-Earth,9
BA.2,2022-02-01,Hogwarts,714
NULL,2021-06-28,Hogwarts,27
NULL,2020-12-16,Middle-Earth,38
NULL,2022-01-15,Asgard,5
NULL,2021-04-17,Hogwarts,67
BA.1,2022-02-12,Pandora,7
Delta,2022-01-07,Narnia,10
NULL,2021-03-23,Hogwarts,10
Alpha,2021-05-02,Panem,576
NULL,2021-04-05,Hogwarts,55
Alpha,2021-04-08,Gilead,5
Delta,2021-07-19,Asgard,3
Alpha,2020-12-14,Hogwarts,9
NULL,2021-12-09,Narnia,3
Alpha,2021-05-03,Wakanda,7
Delta,2021-09-04,Narnia,4
NULL,2021-01-31,Hogwarts,5
Alpha,2021-02-06,Agrabah,3
Alpha,2021-02-25,Narnia,3
NULL,2021-09-26,Hogwarts,23
Delta,2021-11-05,Hogwarts,1891
BA.2,2022-02-16,Gilead,33
BA.2,2022-02-26,Pandora,21
NULL,2021-03-03,Panem,165
NULL,2021-12-02,Middle-Earth,18
NULL,2021-06-16,Hogwarts,22
Delta,2021-07-12,Narnia,9
Alpha,2021-06-06,Wakanda,3
NULL,2021-10-27,Wakanda,7
Alpha,2021-02-15,Panem,191
Delta,2021-12-11,Asgard,34
Delta,2021-11-12,Gilead,34
NULL,2021-03-19,Panem,146
NULL,2021-11-23,Middle-Earth,4
BA.1,2022-01-26,Middle-Earth,6
Delta,2021-12-29,Gilead,6
NULL,2022-01-16,Hogwarts,77
NULL,2021-09-15,Hogwarts,38
Alpha,2021-03-07,Hogwarts,144
Delta,2021-12-24,Middle-Earth,10
Delta,2020-12-27,Hogwarts,10
BA.1,2022-01-31,Asgard,4
Alpha,2020-12-29,Panem,5
Omicron,2022-02-27,Hogwarts,4
BA.1,2022-02-17,Middle-Earth,3
Delta,2021-08-29,Gilead,5
Delta,2021-09-24,Asgard,3
BA.1,2022-02-09,Middle-Earth,5
NULL,2021-01-14,Agrabah,4
NULL,2021-08-18,Pandora,4
Alpha,2021-04-17,Agrabah,4
NULL,2022-02-08,Gilead,11
Beta,2021-03-16,Panem,3
NULL,2021-02-14,Agrabah,3
NULL,2021-10-21,Wakanda,3
NULL,2021-12-07,Wakanda,3
Alpha,2021-05-26,Agrabah,4
Delta,2021-08-24,Gilead,3
Delta,2021-07-13,Hogwarts,1494
Delta,2021-06-05,Hogwarts,10
Alpha,2021-04-23,Pandora,8
Delta,2021-08-10,Narnia,16
Delta,2021-08-20,Hogwarts,873
BA.2,2022-01-06,Pandora,34
NULL,2021-01-17,Narnia,11
BA.2,2022-01-31,Pandora,214
BA.2,2022-01-04,Gilead,6
NULL,2021-04-20,Panem,325
BA.2,2022-02-22,Hogwarts,2282
Delta,2021-10-07,Hogwarts,901
NULL,2020-10-03,Panem,15
BA.1,2022-01-25,Asgard,5
NULL,2020-11-16,Panem,863
BA.2,2021-12-26,Pandora,18
NULL,2021-06-05,Hogwarts,65
NULL,2022-02-05,Pandora,17
NULL,2021-03-16,Pandora,15
Delta,2021-11-29,Gilead,11
NULL,2022-02-07,Hogwarts,502
Delta,2021-10-06,Asgard,8
Alpha,2021-05-14,Wakanda,7
Omicron,2022-01-02,Hogwarts,17
NULL,2021-05-05,Panem,175
NULL,2022-01-05,Narnia,10
NULL,2020-12-10,Gilead,41
BA.2,2022-01-30,Neverland,10
Delta,2021-10-13,Hogwarts,882
Alpha,2021-07-07,Hogwarts,105
Delta,2021-10-28,Narnia,11
NULL,2021-11-11,Pandora,9
Alpha,2021-03-22,Gilead,8
Delta,2021-08-23,Agrabah,4
Delta,2021-11-23,Middle-Earth,3
BA.1,2022-01-08,Narnia,8
NULL,2021-05-13,Narnia,3
Alpha,2021-04-23,Narnia,5
Eta,2021-03-06,Hogwarts,12
Alpha,2021-05-28,Narnia,8
BA.2,2022-02-19,Wakanda,6
NULL,2022-01-14,Narnia,5
Eta,2021-03-11,Panem,6
Delta,2021-11-03,Gilead,8
Alpha,2021-03-27,Agrabah,4
NULL,2022-01-27,Hogwarts,132
Omicron,2022-02-04,Hogwarts,18
NULL,2021-02-24,Narnia,6
NULL,2022-02-07,Pandora,28
Delta,2021-11-29,Narnia,42
NULL,2021-04-19,Panem,216
Alpha,2021-05-07,Panem,699
NULL,2021-11-17,Hogwarts,98
BA.2,2022-01-08,Gilead,13
Delta,2021-07-14,Hogwarts,1212
Alpha,2021-06-04,Hogwarts,659
Delta,2021-11-09,Gilead,10
BA.1,2021-12-11,Gilead,3
Delta,2021-10-24,Wakanda,7
NULL,2022-02-15,Middle-Earth,25
NULL,2021-10-09,Hogwarts,63
BA.1,2022-01-10,Pandora,70
NULL,2022-01-12,Hogwarts,145
NULL,2021-04-15,Hogwarts,101
Omicron,2021-12-30,Hogwarts,3
BA.2,2022-01-04,Narnia,8
Delta,2021-08-17,Hogwarts,943
BA.2,2022-02-22,Wakanda,14
NULL,2020-10-21,Hogwarts,61
NULL,2020-12-03,Middle-Earth,48
BA.2,2022-02-04,Narnia,38
Delta,2021-12-02,Gilead,22
Alpha,2021-03-08,Panem,470
Delta,2021-10-07,Pandora,3
Delta,2021-11-19,Asgard,11
BA.1,2022-02-08,Gilead,3
Delta,2021-08-05,Wakanda,5
NULL,2021-12-14,Wakanda,6
NULL,2021-05-04,Pandora,4
Delta,2021-10-22,Narnia,6
NULL,2021-11-19,Wakanda,4
Delta,2022-01-05,Pandora,3
NULL,2020-10-06,Panem,16
NULL,2021-05-26,Hogwarts,4
NULL,2021-06-08,Hogwarts,87
Delta,2021-10-18,Neverland,3
Alpha,2021-05-23,Narnia,9
NULL,2022-01-25,Gilead,5
Alpha,2021-05-09,Panem,467
BA.1,2022-01-12,Gilead,38
BA.1,2022-01-11,Pandora,72
BA.1,2022-02-14,Hogwarts,126
BA.2,2022-01-08,Pandora,29
Alpha,2021-04-08,Narnia,15
BA.1,2022-01-10,Gilead,69
NULL,2021-12-12,Asgard,12
NULL,2020-11-14,Hogwarts,137
NULL,2020-10-07,Hogwarts,4
NULL,2022-01-02,Narnia,5
NULL,2021-12-07,Asgard,33
Alpha,2021-02-19,Panem,297
NULL,2020-11-06,Hogwarts,69
Delta,2021-09-08,Neverland,4
Delta,2021-11-25,Hogwarts,1966
Alpha,2021-03-18,Hogwarts,53
Delta,2021-12-02,Pandora,25
NULL,2022-01-26,Middle-Earth,24
NULL,2021-02-06,Narnia,9
NULL,2021-12-11,Hogwarts,249
BA.2,2022-02-03,Narnia,47
Delta,2021-07-08,Hogwarts,341
Delta,2021-10-19,Wakanda,6
Alpha,2021-05-04,Narnia,12
Alpha,2021-04-30,Pandora,5
Delta,2021-10-02,Asgard,3
Delta,2021-12-09,Gilead,9
Omicron,2022-02-06,Pandora,3
Beta,2021-03-31,Narnia,3
NULL,2021-11-12,Narnia,7
Alpha,2021-04-04,Agrabah,3
Alpha,2021-04-07,Agrabah,4
Alpha,2021-03-04,Narnia,5
Alpha,2021-03-31,Agrabah,4
NULL,2021-04-21,Agrabah,3
NULL,2021-01-14,Gilead,3
Delta,2022-01-07,Gilead,3
Alpha,2020-12-08,Gilead,4
NULL,2021-08-04,Asgard,8
NULL,2021-01-23,Hogwarts,8
Omicron,2022-01-22,Hogwarts,11
NULL,2022-01-05,Middle-Earth,32
Delta,2022-01-08,Gilead,3
Delta,2021-07-25,Hogwarts,816
NULL,2021-12-28,Pandora,24
Delta,2021-09-11,Wakanda,6
Alpha,2021-03-28,Panem,464
NULL,2022-02-04,Pandora,25
Eta,2021-03-25,Panem,15
Delta,2021-09-19,Asgard,13
BA.1,2022-01-04,Pandora,120
BA.1,2022-02-07,Pandora,15
Alpha,2021-05-19,Panem,864
Alpha,2021-05-07,Narnia,8
NULL,2022-02-23,Pandora,12
NULL,2021-08-25,Hogwarts,73
NULL,2021-10-29,Hogwarts,45
BA.2,2022-02-26,Asgard,28
BA.1,2022-01-09,Narnia,14
NULL,2021-11-17,Wakanda,5
Delta,2021-11-15,Agrabah,17
BA.2,2022-01-16,Gilead,61
Delta,2022-01-17,Narnia,3
NULL,2021-10-03,Hogwarts,47
Eta,2021-04-01,Panem,13
NULL,2021-06-27,Hogwarts,41
BA.1,2021-12-08,Asgard,4
Delta,2021-12-25,Gilead,7
Delta,2021-11-18,Asgard,4
Delta,2021-10-21,Pandora,5
NULL,2021-02-20,Agrabah,3
NULL,2021-12-04,Middle-Earth,8
NULL,2021-04-16,Agrabah,4
NULL,2021-05-22,Hogwarts,21
BA.2,2022-02-06,Wakanda,9
NULL,2020-12-20,Hogwarts,316
NULL,2021-12-23,Pandora,24
Delta,2021-07-28,Narnia,7
BA.1,2021-12-12,Pandora,8
BA.2,2022-02-28,Hogwarts,1601
NULL,2020-11-20,Hogwarts,204
BA.1,2021-12-26,Middle-Earth,46
NULL,2020-12-28,Middle-Earth,6
Delta,2021-09-08,Asgard,6
Alpha,2021-05-16,Gilead,4
Delta,2021-08-11,Hogwarts,1274
NULL,2020-10-16,Panem,132
Delta,2021-10-22,Hogwarts,1386
BA.2,2022-02-19,Pandora,50
Delta,2021-06-19,Hogwarts,14
NULL,2021-01-20,Narnia,34
NULL,2021-12-08,Middle-Earth,38
Omicron,2022-01-08,Hogwarts,22
Delta,2021-12-06,Wakanda,6
Delta,2021-10-31,Asgard,13
BA.1,2022-02-11,Pandora,7
Delta,2021-07-24,Hogwarts,665
Delta,2021-12-15,Wakanda,9
NULL,2021-03-23,Panem,207
NULL,2022-02-24,Middle-Earth,25
BA.1,2022-01-11,Narnia,33
Alpha,2020-12-27,Panem,8
Delta,2022-01-17,Hogwarts,10
Delta,2021-11-02,Pandora,6
NULL,2021-01-17,Middle-Earth,14
BA.1,2021-12-20,Pandora,113
NULL,2021-03-18,Gilead,4
Delta,2021-11-05,Agrabah,3
NULL,2021-02-15,Middle-Earth,7
Alpha,2021-02-26,Agrabah,9
NULL,2020-09-06,Hogwarts,3
Alpha,2021-04-13,Hogwarts,3
Delta,2021-07-09,Narnia,3
BA.1,2021-12-17,Hogwarts,335
BA.1,2022-01-13,Gilead,30
NULL,2021-01-07,Panem,397
NULL,2020-12-22,Panem,396
Alpha,2021-03-06,Panem,336
NULL,2020-09-24,Panem,179
Alpha,2021-01-01,Panem,26
NULL,2021-09-08,Hogwarts,41
BA.2,2022-01-25,Asgard,33
NULL,2021-10-25,Hogwarts,66
NULL,2021-01-06,Narnia,66
NULL,2022-02-24,Hogwarts,164
BA.2,2022-02-14,Middle-Earth,154
NULL,2021-06-10,Hogwarts,39
NULL,2020-12-05,Hogwarts,163
NULL,2021-12-21,Pandora,27
Delta,2021-08-25,Asgard,17
Alpha,2021-03-27,Wakanda,8
NULL,2021-10-31,Hogwarts,35
Delta,2021-10-11,Asgard,9
NULL,2021-10-14,Hogwarts,41
BA.2,2022-02-05,Middle-Earth,83
BA.2,2022-02-22,Middle-Earth,91
NULL,2020-09-26,Panem,75
NULL,2021-02-01,Pandora,12
NULL,2021-02-03,Pandora,5
BA.2,2022-02-24,Gilead,28
Delta,2021-10-24,Neverland,12
NULL,2022-01-16,Asgard,34
BA.2,2022-02-09,Wakanda,14
Alpha,2020-11-22,Hogwarts,5
BA.1,2022-02-03,Gilead,5
Alpha,2021-03-04,Pandora,8
BA.2,2022-02-18,Wakanda,7
Alpha,2021-06-04,Gilead,5
NULL,2021-01-09,Pandora,3
BA.2,2022-01-30,Wakanda,4
Delta,2021-08-13,Pandora,3
NULL,2021-05-18,Wakanda,3
Alpha,2020-12-31,Hogwarts,3
BA.1,2021-12-20,Wakanda,4
BA.2,2022-02-23,Hogwarts,1137
NULL,2021-07-12,Hogwarts,112
NULL,2021-01-27,Middle-Earth,38
Delta,2021-10-20,Asgard,14
NULL,2021-01-14,Hogwarts,126
NULL,2020-09-23,Panem,279
Delta,2022-01-04,Asgard,4
NULL,2021-01-29,Gilead,9
